Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
335,300,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
413,200,20,40,1,10,26.6,44.0,1740,0.5,9.286,100,2700,7200
424,200,20,40,1,10,26.6,44.0,1800,0.5,9.286,100,2700,7200
516,250,20,45,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
536,250,20,30,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
543,250,20,35,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
550,250,20,40,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
563,250,20,25,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
585,290,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
585,250,20,20,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
588,270,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
599,250,20,15,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
600,280,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
645,260,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
668,240,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
668,250,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
686,250,20,10,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
701,200,20,40,1,10,26.6,44.0,1680,0.5,9.286,100,2700,7200
705,250,20,5,1,10,24.4,35.0,1800,0.5,9.286,100,2700,7200
727,230,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
764,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
840,220,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
845,190,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
885,200,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
887,210,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
895,200,20,40,1,10,26.6,44.0,1380,0.5,9.286,100,2700,7200
903,200,20,40,1,10,26.6,44.0,1260,0.5,9.286,100,2700,7200
915,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
929,180,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
938,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
959,200,20,40,1,10,26.6,44.0,1320,0.5,9.286,100,2700,7200
967,150,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
973,170,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
975,200,20,40,1,10,26.6,44.0,1200,0.5,9.286,100,2700,7200
987,160,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1048,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
1071,200,20,40,1,10,26.6,44.0,1140,0.5,9.286,100,2700,7200
1099,200,20,40,1,10,26.6,44.0,1020,0.5,9.286,100,2700,7200
1107,100,20,60,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
1108,200,20,40,1,10,26.6,44.0,1080,0.5,9.286,100,2700,7200
