Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
257,300,20,100,1,10,24.1,37,1800,0.1,5.567,100,2700,600
264,300,20,100,1,10,24.1,37,1800,0.1,5.567,100,2700,1800
266,300,20,100,1,10,24.1,37,1800,0.1,5.567,100,2700,2400
272,300,20,100,1,10,24.1,37,1800,0.1,5.567,100,2700,3000
275,300,20,100,1,10,24.1,37,1800,0.1,5.567,100,2700,3600
325,300,20,100,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
336,300,20,90,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
338,300,20,80,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
346,300,20,70,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
353,300,20,50,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
363,300,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
366,290,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
372,300,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
388,280,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
400,270,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
405,260,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
405,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
407,250,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
414,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
416,240,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
424,220,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
426,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
437,210,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
457,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
459,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
462,180,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
472,170,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
481,160,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
486,140,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
486,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
493,200,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
495,130,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
498,200,20,40,1,10,22.7,33,1740,0.1,5.567,100,2700,7200
499,120,20,40,1,10,22.7,33,1800,0.1,5.567,100,2700,7200
